Day-Date,PartyID,PartySht,Party,Party Votes,Party Seats,Total Seats,Party Votes %,Candidate Seats
23rd 19:05,6 , NAT , National Party , 8437 , 38 , 53 , 42.3 , 15
23rd 19:05,5 , LAB , Labour Party , 8020 , 37 , 50 , 40.2 , 13
23rd 19:05,7 , NZF , New Zealand First Party , 1418 , 9 , 9 , 7.1 , 0
23rd 19:05,4 , GP , Green Party , 1245 , 8 , 8 , 6.2 , 0
23rd 19:05,28 , TOP , The Opportunities Party (TOP) , 323 , 0 , 0 , 1.6 , 0
23rd 19:05,10 , MAOR , Māori Party , 232 , 0 , 0 , 1.2 , 0
23rd 19:05,1 , ACT , ACT New Zealand , 81 , 0 , 0 , 0.4 , 0
23rd 19:05,12 , CNSP , Conservative , 60 , 0 , 0 , 0.3 , 0
23rd 19:05,3 , ALCP , Aotearoa Legalise Cannabis Party , 47 , 0 , 0 , 0.2 , 0
23rd 19:05,29 , NZPP , New Zealand People's Party , 29 , 0 , 0 , 0.1 , 0
23rd 19:05,9 , UFNZ , United Future , 16 , 0 , 0 , 0.1 , 0
23rd 19:05,18 , BAN , Ban1080 , 16 , 0 , 0 , 0.1 , 0
23rd 19:05,11 , MANA , MANA , 16 , 0 , 0 , 0.1 , 0
23rd 19:05,27 , NZOP , NZ Outdoors Party , 12 , 0 , 0 , 0.1 , 0
23rd 19:05,8 , NZDSC , Democrats for Social Credit , 9 , 0 , 0 , 0.0 , 0
23rd 19:05,14 , IP , Internet Party , 4 , 0 , 0 , 0.0 , 0
23rd 19:06,6 , NAT , National Party , 9931 , 35 , 53 , 42.4 , 18
23rd 19:06,5 , LAB , Labour Party , 9169 , 37 , 49 , 39.2 , 12
23rd 19:06,4 , GP , Green Party , 1630 , 9 , 9 , 7.0 , 0
23rd 19:06,7 , NZF , New Zealand First Party , 1567 , 8 , 8 , 6.7 , 0
23rd 19:06,28 , TOP , The Opportunities Party (TOP) , 503 , 0 , 0 , 2.1 , 0
23rd 19:06,10 , MAOR , Māori Party , 243 , 0 , 0 , 1.0 , 0
23rd 19:06,1 , ACT , ACT New Zealand , 123 , 0 , 0 , 0.5 , 0
23rd 19:06,12 , CNSP , Conservative , 67 , 0 , 0 , 0.3 , 0
23rd 19:06,3 , ALCP , Aotearoa Legalise Cannabis Party , 56 , 0 , 0 , 0.2 , 0
23rd 19:06,29 , NZPP , New Zealand People's Party , 31 , 0 , 0 , 0.1 , 0
23rd 19:06,11 , MANA , MANA , 20 , 0 , 0 , 0.1 , 0
23rd 19:06,18 , BAN , Ban1080 , 18 , 0 , 0 , 0.1 , 0
23rd 19:06,9 , UFNZ , United Future , 18 , 0 , 0 , 0.1 , 0
23rd 19:06,27 , NZOP , NZ Outdoors Party , 12 , 0 , 0 , 0.1 , 0
23rd 19:06,8 , NZDSC , Democrats for Social Credit , 11 , 0 , 0 , 0.0 , 0
23rd 19:06,14 , IP , Internet Party , 6 , 0 , 0 , 0.0 , 0
23rd 19:10,6 , NAT , National Party , 35848 , 30 , 56 , 45.3 , 26
23rd 19:10,5 , LAB , Labour Party , 29620 , 25 , 47 , 37.4 , 22
23rd 19:10,7 , NZF , New Zealand First Party , 5531 , 9 , 9 , 7.0 , 0
23rd 19:10,4 , GP , Green Party , 4852 , 8 , 8 , 6.1 , 0
23rd 19:10,28 , TOP , The Opportunities Party (TOP) , 1481 , 0 , 0 , 1.9 , 0
23rd 19:10,10 , MAOR , Māori Party , 748 , 0 , 0 , 0.9 , 0
23rd 19:10,1 , ACT , ACT New Zealand , 362 , 0 , 0 , 0.5 , 0
23rd 19:10,12 , CNSP , Conservative , 216 , 0 , 0 , 0.3 , 0
23rd 19:10,3 , ALCP , Aotearoa Legalise Cannabis Party , 151 , 0 , 0 , 0.2 , 0
23rd 19:10,29 , NZPP , New Zealand People's Party , 131 , 0 , 0 , 0.2 , 0
23rd 19:10,18 , BAN , Ban1080 , 67 , 0 , 0 , 0.1 , 0
23rd 19:10,11 , MANA , MANA , 63 , 0 , 0 , 0.1 , 0
23rd 19:10,9 , UFNZ , United Future , 54 , 0 , 0 , 0.1 , 0
23rd 19:10,27 , NZOP , NZ Outdoors Party , 35 , 0 , 0 , 0.0 , 0
23rd 19:10,8 , NZDSC , Democrats for Social Credit , 27 , 0 , 0 , 0.0 , 0
23rd 19:10,14 , IP , Internet Party , 16 , 0 , 0 , 0.0 , 0
23rd 19:13,6 , NAT , National Party , 55487 , 24 , 57 , 45.9 , 33
23rd 19:13,5 , LAB , Labour Party , 44277 , 23 , 46 , 36.6 , 23
23rd 19:13,7 , NZF , New Zealand First Party , 8611 , 9 , 9 , 7.1 , 0
23rd 19:13,4 , GP , Green Party , 7429 , 8 , 8 , 6.1 , 0
23rd 19:13,28 , TOP , The Opportunities Party (TOP) , 2304 , 0 , 0 , 1.9 , 0
23rd 19:13,10 , MAOR , Māori Party , 1156 , 0 , 0 , 1.0 , 0
23rd 19:13,1 , ACT , ACT New Zealand , 554 , 0 , 0 , 0.5 , 0
23rd 19:13,12 , CNSP , Conservative , 344 , 0 , 0 , 0.3 , 0
23rd 19:13,3 , ALCP , Aotearoa Legalise Cannabis Party , 240 , 0 , 0 , 0.2 , 0
23rd 19:13,29 , NZPP , New Zealand People's Party , 171 , 0 , 0 , 0.1 , 0
23rd 19:13,18 , BAN , Ban1080 , 109 , 0 , 0 , 0.1 , 0
23rd 19:13,11 , MANA , MANA , 90 , 0 , 0 , 0.1 , 0
23rd 19:13,9 , UFNZ , United Future , 85 , 0 , 0 , 0.1 , 0
23rd 19:13,27 , NZOP , NZ Outdoors Party , 56 , 0 , 0 , 0.0 , 0
23rd 19:13,8 , NZDSC , Democrats for Social Credit , 39 , 0 , 0 , 0.0 , 0
23rd 19:13,14 , IP , Internet Party , 33 , 0 , 0 , 0.0 , 0
23rd 19:15,6 , NAT , National Party , 69670 , 21 , 58 , 46.1 , 37
23rd 19:15,5 , LAB , Labour Party , 55402 , 22 , 46 , 36.7 , 24
23rd 19:15,7 , NZF , New Zealand First Party , 10988 , 9 , 9 , 7.3 , 0
23rd 19:15,4 , GP , Green Party , 8809 , 7 , 7 , 5.8 , 0
23rd 19:15,28 , TOP , The Opportunities Party (TOP) , 2749 , 0 , 0 , 1.8 , 0
23rd 19:15,10 , MAOR , Māori Party , 1458 , 0 , 0 , 1.0 , 0
23rd 19:15,1 , ACT , ACT New Zealand , 651 , 0 , 0 , 0.4 , 0
23rd 19:15,12 , CNSP , Conservative , 407 , 0 , 0 , 0.3 , 0
23rd 19:15,3 , ALCP , Aotearoa Legalise Cannabis Party , 296 , 0 , 0 , 0.2 , 0
23rd 19:15,29 , NZPP , New Zealand People's Party , 186 , 0 , 0 , 0.1 , 0
23rd 19:15,18 , BAN , Ban1080 , 136 , 0 , 0 , 0.1 , 0
23rd 19:15,11 , MANA , MANA , 107 , 0 , 0 , 0.1 , 0
23rd 19:15,9 , UFNZ , United Future , 102 , 0 , 0 , 0.1 , 0
23rd 19:15,27 , NZOP , NZ Outdoors Party , 70 , 0 , 0 , 0.0 , 0
23rd 19:15,8 , NZDSC , Democrats for Social Credit , 50 , 0 , 0 , 0.0 , 0
23rd 19:15,14 , IP , Internet Party , 39 , 0 , 0 , 0.0 , 0
23rd 19:18,6 , NAT , National Party , 101466 , 20 , 56 , 45.6 , 36
23rd 19:18,5 , LAB , Labour Party , 82046 , 19 , 46 , 36.8 , 27
23rd 19:18,7 , NZF , New Zealand First Party , 16185 , 9 , 9 , 7.3 , 0
23rd 19:18,4 , GP , Green Party , 13652 , 8 , 8 , 6.1 , 0
23rd 19:18,28 , TOP , The Opportunities Party (TOP) , 4172 , 0 , 0 , 1.9 , 0
23rd 19:18,10 , MAOR , Māori Party , 2164 , 0 , 0 , 1.0 , 0
23rd 19:18,1 , ACT , ACT New Zealand , 925 , 0 , 1 , 0.4 , 1
23rd 19:18,12 , CNSP , Conservative , 555 , 0 , 0 , 0.2 , 0
23rd 19:18,3 , ALCP , Aotearoa Legalise Cannabis Party , 467 , 0 , 0 , 0.2 , 0
23rd 19:18,29 , NZPP , New Zealand People's Party , 258 , 0 , 0 , 0.1 , 0
23rd 19:18,18 , BAN , Ban1080 , 206 , 0 , 0 , 0.1 , 0
23rd 19:18,11 , MANA , MANA , 186 , 0 , 0 , 0.1 , 0
23rd 19:18,9 , UFNZ , United Future , 141 , 0 , 0 , 0.1 , 0
23rd 19:18,27 , NZOP , NZ Outdoors Party , 113 , 0 , 0 , 0.1 , 0
23rd 19:18,14 , IP , Internet Party , 73 , 0 , 0 , 0.0 , 0
23rd 19:18,8 , NZDSC , Democrats for Social Credit , 72 , 0 , 0 , 0.0 , 0
23rd 19:25,6 , NAT , National Party , 164015 , 20 , 57 , 45.8 , 37
23rd 19:25,5 , LAB , Labour Party , 131838 , 17 , 46 , 36.8 , 29
23rd 19:25,7 , NZF , New Zealand First Party , 25840 , 8 , 9 , 7.2 , 1
23rd 19:25,4 , GP , Green Party , 21468 , 7 , 7 , 6.0 , 0
23rd 19:25,28 , TOP , The Opportunities Party (TOP) , 6752 , 0 , 0 , 1.9 , 0
23rd 19:25,10 , MAOR , Māori Party , 3368 , 0 , 0 , 0.9 , 0
23rd 19:25,1 , ACT , ACT New Zealand , 1524 , 0 , 1 , 0.4 , 1
23rd 19:25,12 , CNSP , Conservative , 856 , 0 , 0 , 0.2 , 0
23rd 19:25,3 , ALCP , Aotearoa Legalise Cannabis Party , 716 , 0 , 0 , 0.2 , 0
23rd 19:25,29 , NZPP , New Zealand People's Party , 364 , 0 , 0 , 0.1 , 0
23rd 19:25,18 , BAN , Ban1080 , 319 , 0 , 0 , 0.1 , 0
23rd 19:25,11 , MANA , MANA , 289 , 0 , 0 , 0.1 , 0
23rd 19:25,9 , UFNZ , United Future , 245 , 0 , 0 , 0.1 , 0
23rd 19:25,27 , NZOP , NZ Outdoors Party , 177 , 0 , 0 , 0.0 , 0
23rd 19:25,8 , NZDSC , Democrats for Social Credit , 114 , 0 , 0 , 0.0 , 0
23rd 19:25,14 , IP , Internet Party , 92 , 0 , 0 , 0.0 , 0
23rd 19:29,6 , NAT , National Party , 207210 , 22 , 58 , 46.4 , 36
23rd 19:29,5 , LAB , Labour Party , 162947 , 14 , 45 , 36.5 , 31
23rd 19:29,7 , NZF , New Zealand First Party , 31757 , 8 , 9 , 7.1 , 1
23rd 19:29,4 , GP , Green Party , 26267 , 7 , 7 , 5.9 , 0
23rd 19:29,28 , TOP , The Opportunities Party (TOP) , 8478 , 0 , 0 , 1.9 , 0
23rd 19:29,10 , MAOR , Māori Party , 4118 , 0 , 0 , 0.9 , 0
23rd 19:29,1 , ACT , ACT New Zealand , 1947 , 0 , 1 , 0.4 , 1
23rd 19:29,12 , CNSP , Conservative , 1047 , 0 , 0 , 0.2 , 0
23rd 19:29,3 , ALCP , Aotearoa Legalise Cannabis Party , 900 , 0 , 0 , 0.2 , 0
23rd 19:29,11 , MANA , MANA , 421 , 0 , 0 , 0.1 , 0
23rd 19:29,29 , NZPP , New Zealand People's Party , 421 , 0 , 0 , 0.1 , 0
23rd 19:29,18 , BAN , Ban1080 , 399 , 0 , 0 , 0.1 , 0
23rd 19:29,9 , UFNZ , United Future , 307 , 0 , 0 , 0.1 , 0
23rd 19:29,27 , NZOP , NZ Outdoors Party , 231 , 0 , 0 , 0.1 , 0
23rd 19:29,8 , NZDSC , Democrats for Social Credit , 146 , 0 , 0 , 0.0 , 0
23rd 19:29,14 , IP , Internet Party , 101 , 0 , 0 , 0.0 , 0
23rd 19:33,6 , NAT , National Party , 239956 , 21 , 58 , 46.9 , 37
23rd 19:33,5 , LAB , Labour Party , 184442 , 14 , 45 , 36.1 , 31
23rd 19:33,7 , NZF , New Zealand First Party , 36160 , 8 , 9 , 7.1 , 1
23rd 19:33,4 , GP , Green Party , 29579 , 7 , 7 , 5.8 , 0
23rd 19:33,28 , TOP , The Opportunities Party (TOP) , 9637 , 0 , 0 , 1.9 , 0
23rd 19:33,10 , MAOR , Māori Party , 4685 , 0 , 0 , 0.9 , 0
23rd 19:33,1 , ACT , ACT New Zealand , 2253 , 0 , 1 , 0.4 , 1
23rd 19:33,12 , CNSP , Conservative , 1170 , 0 , 0 , 0.2 , 0
23rd 19:33,3 , ALCP , Aotearoa Legalise Cannabis Party , 1020 , 0 , 0 , 0.2 , 0
23rd 19:33,29 , NZPP , New Zealand People's Party , 476 , 0 , 0 , 0.1 , 0
23rd 19:33,11 , MANA , MANA , 463 , 0 , 0 , 0.1 , 0
23rd 19:33,18 , BAN , Ban1080 , 443 , 0 , 0 , 0.1 , 0
23rd 19:33,9 , UFNZ , United Future , 342 , 0 , 0 , 0.1 , 0
23rd 19:33,27 , NZOP , NZ Outdoors Party , 257 , 0 , 0 , 0.1 , 0
23rd 19:33,8 , NZDSC , Democrats for Social Credit , 166 , 0 , 0 , 0.0 , 0
23rd 19:33,14 , IP , Internet Party , 112 , 0 , 0 , 0.0 , 0
23rd 19:34,6 , NAT , National Party , 241119 , 21 , 58 , 46.9 , 37
23rd 19:34,5 , LAB , Labour Party , 185962 , 14 , 45 , 36.2 , 31
23rd 19:34,7 , NZF , New Zealand First Party , 36382 , 8 , 9 , 7.1 , 1
23rd 19:34,4 , GP , Green Party , 29672 , 7 , 7 , 5.8 , 0
23rd 19:34,28 , TOP , The Opportunities Party (TOP) , 9657 , 0 , 0 , 1.9 , 0
23rd 19:34,10 , MAOR , Māori Party , 4715 , 0 , 0 , 0.9 , 0
23rd 19:34,1 , ACT , ACT New Zealand , 2264 , 0 , 1 , 0.4 , 1
23rd 19:34,12 , CNSP , Conservative , 1176 , 0 , 0 , 0.2 , 0
23rd 19:34,3 , ALCP , Aotearoa Legalise Cannabis Party , 1022 , 0 , 0 , 0.2 , 0
23rd 19:34,29 , NZPP , New Zealand People's Party , 480 , 0 , 0 , 0.1 , 0
23rd 19:34,11 , MANA , MANA , 465 , 0 , 0 , 0.1 , 0
23rd 19:34,18 , BAN , Ban1080 , 443 , 0 , 0 , 0.1 , 0
23rd 19:34,9 , UFNZ , United Future , 342 , 0 , 0 , 0.1 , 0
23rd 19:34,27 , NZOP , NZ Outdoors Party , 258 , 0 , 0 , 0.1 , 0
23rd 19:34,8 , NZDSC , Democrats for Social Credit , 166 , 0 , 0 , 0.0 , 0
23rd 19:34,14 , IP , Internet Party , 113 , 0 , 0 , 0.0 , 0
23rd 19:35,6 , NAT , National Party , 248483 , 21 , 58 , 46.6 , 37
23rd 19:35,5 , LAB , Labour Party , 194181 , 14 , 45 , 36.4 , 31
23rd 19:35,7 , NZF , New Zealand First Party , 37560 , 8 , 9 , 7.0 , 1
23rd 19:35,4 , GP , Green Party , 30860 , 7 , 7 , 5.8 , 0
23rd 19:35,28 , TOP , The Opportunities Party (TOP) , 9992 , 0 , 0 , 1.9 , 0
23rd 19:35,10 , MAOR , Māori Party , 4981 , 0 , 0 , 0.9 , 0
23rd 19:35,1 , ACT , ACT New Zealand , 2340 , 0 , 1 , 0.4 , 1
23rd 19:35,12 , CNSP , Conservative , 1230 , 0 , 0 , 0.2 , 0
23rd 19:35,3 , ALCP , Aotearoa Legalise Cannabis Party , 1059 , 0 , 0 , 0.2 , 0
23rd 19:35,29 , NZPP , New Zealand People's Party , 502 , 0 , 0 , 0.1 , 0
23rd 19:35,11 , MANA , MANA , 484 , 0 , 0 , 0.1 , 0
23rd 19:35,18 , BAN , Ban1080 , 459 , 0 , 0 , 0.1 , 0
23rd 19:35,9 , UFNZ , United Future , 349 , 0 , 0 , 0.1 , 0
23rd 19:35,27 , NZOP , NZ Outdoors Party , 267 , 0 , 0 , 0.1 , 0
23rd 19:35,8 , NZDSC , Democrats for Social Credit , 174 , 0 , 0 , 0.0 , 0
23rd 19:35,14 , IP , Internet Party , 115 , 0 , 0 , 0.0 , 0
23rd 19:36,6 , NAT , National Party , 253198 , 21 , 58 , 46.4 , 37
23rd 19:36,5 , LAB , Labour Party , 199277 , 14 , 45 , 36.5 , 31
23rd 19:36,7 , NZF , New Zealand First Party , 38247 , 8 , 9 , 7.0 , 1
23rd 19:36,4 , GP , Green Party , 32185 , 7 , 7 , 5.9 , 0
23rd 19:36,28 , TOP , The Opportunities Party (TOP) , 10274 , 0 , 0 , 1.9 , 0
23rd 19:36,10 , MAOR , Māori Party , 5059 , 0 , 0 , 0.9 , 0
23rd 19:36,1 , ACT , ACT New Zealand , 2390 , 0 , 1 , 0.4 , 1
23rd 19:36,12 , CNSP , Conservative , 1261 , 0 , 0 , 0.2 , 0
23rd 19:36,3 , ALCP , Aotearoa Legalise Cannabis Party , 1075 , 0 , 0 , 0.2 , 0
23rd 19:36,29 , NZPP , New Zealand People's Party , 510 , 0 , 0 , 0.1 , 0
23rd 19:36,11 , MANA , MANA , 493 , 0 , 0 , 0.1 , 0
23rd 19:36,18 , BAN , Ban1080 , 463 , 0 , 0 , 0.1 , 0
23rd 19:36,9 , UFNZ , United Future , 358 , 0 , 0 , 0.1 , 0
23rd 19:36,27 , NZOP , NZ Outdoors Party , 274 , 0 , 0 , 0.1 , 0
23rd 19:36,8 , NZDSC , Democrats for Social Credit , 179 , 0 , 0 , 0.0 , 0
23rd 19:36,14 , IP , Internet Party , 116 , 0 , 0 , 0.0 , 0
23rd 19:37,6 , NAT , National Party , 257561 , 21 , 58 , 46.5 , 37
23rd 19:37,5 , LAB , Labour Party , 201770 , 14 , 45 , 36.4 , 31
23rd 19:37,7 , NZF , New Zealand First Party , 39025 , 8 , 9 , 7.0 , 1
23rd 19:37,4 , GP , Green Party , 32551 , 7 , 7 , 5.9 , 0
23rd 19:37,28 , TOP , The Opportunities Party (TOP) , 10434 , 0 , 0 , 1.9 , 0
23rd 19:37,10 , MAOR , Māori Party , 5120 , 0 , 0 , 0.9 , 0
23rd 19:37,1 , ACT , ACT New Zealand , 2435 , 0 , 1 , 0.4 , 1
23rd 19:37,12 , CNSP , Conservative , 1287 , 0 , 0 , 0.2 , 0
23rd 19:37,3 , ALCP , Aotearoa Legalise Cannabis Party , 1095 , 0 , 0 , 0.2 , 0
23rd 19:37,29 , NZPP , New Zealand People's Party , 514 , 0 , 0 , 0.1 , 0
23rd 19:37,11 , MANA , MANA , 499 , 0 , 0 , 0.1 , 0
23rd 19:37,18 , BAN , Ban1080 , 471 , 0 , 0 , 0.1 , 0
23rd 19:37,9 , UFNZ , United Future , 367 , 0 , 0 , 0.1 , 0
23rd 19:37,27 , NZOP , NZ Outdoors Party , 277 , 0 , 0 , 0.1 , 0
23rd 19:37,8 , NZDSC , Democrats for Social Credit , 181 , 0 , 0 , 0.0 , 0
23rd 19:37,14 , IP , Internet Party , 118 , 0 , 0 , 0.0 , 0
23rd 19:38,6 , NAT , National Party , 265031 , 21 , 58 , 46.7 , 37
23rd 19:38,5 , LAB , Labour Party , 205606 , 14 , 45 , 36.3 , 31
23rd 19:38,7 , NZF , New Zealand First Party , 39862 , 8 , 9 , 7.0 , 1
23rd 19:38,4 , GP , Green Party , 33305 , 7 , 7 , 5.9 , 0
23rd 19:38,28 , TOP , The Opportunities Party (TOP) , 10680 , 0 , 0 , 1.9 , 0
23rd 19:38,10 , MAOR , Māori Party , 5205 , 0 , 0 , 0.9 , 0
23rd 19:38,1 , ACT , ACT New Zealand , 2522 , 0 , 1 , 0.4 , 1
23rd 19:38,12 , CNSP , Conservative , 1312 , 0 , 0 , 0.2 , 0
23rd 19:38,3 , ALCP , Aotearoa Legalise Cannabis Party , 1112 , 0 , 0 , 0.2 , 0
23rd 19:38,29 , NZPP , New Zealand People's Party , 519 , 0 , 0 , 0.1 , 0
23rd 19:38,11 , MANA , MANA , 506 , 0 , 0 , 0.1 , 0
23rd 19:38,18 , BAN , Ban1080 , 477 , 0 , 0 , 0.1 , 0
23rd 19:38,9 , UFNZ , United Future , 374 , 0 , 0 , 0.1 , 0
23rd 19:38,27 , NZOP , NZ Outdoors Party , 279 , 0 , 0 , 0.0 , 0
23rd 19:38,8 , NZDSC , Democrats for Social Credit , 181 , 0 , 0 , 0.0 , 0
23rd 19:38,14 , IP , Internet Party , 120 , 0 , 0 , 0.0 , 0
23rd 19:39,6 , NAT , National Party , 267504 , 21 , 58 , 46.7 , 37
23rd 19:39,5 , LAB , Labour Party , 207945 , 14 , 45 , 36.3 , 31
23rd 19:39,7 , NZF , New Zealand First Party , 40234 , 8 , 9 , 7.0 , 1
23rd 19:39,4 , GP , Green Party , 33802 , 7 , 7 , 5.9 , 0
23rd 19:39,28 , TOP , The Opportunities Party (TOP) , 10841 , 0 , 0 , 1.9 , 0
23rd 19:39,10 , MAOR , Māori Party , 5275 , 0 , 0 , 0.9 , 0
23rd 19:39,1 , ACT , ACT New Zealand , 2549 , 0 , 1 , 0.4 , 1
23rd 19:39,12 , CNSP , Conservative , 1329 , 0 , 0 , 0.2 , 0
23rd 19:39,3 , ALCP , Aotearoa Legalise Cannabis Party , 1127 , 0 , 0 , 0.2 , 0
23rd 19:39,29 , NZPP , New Zealand People's Party , 522 , 0 , 0 , 0.1 , 0
23rd 19:39,11 , MANA , MANA , 514 , 0 , 0 , 0.1 , 0
23rd 19:39,18 , BAN , Ban1080 , 485 , 0 , 0 , 0.1 , 0
23rd 19:39,9 , UFNZ , United Future , 376 , 0 , 0 , 0.1 , 0
23rd 19:39,27 , NZOP , NZ Outdoors Party , 283 , 0 , 0 , 0.0 , 0
23rd 19:39,8 , NZDSC , Democrats for Social Credit , 183 , 0 , 0 , 0.0 , 0
23rd 19:39,14 , IP , Internet Party , 120 , 0 , 0 , 0.0 , 0
23rd 19:40,6 , NAT , National Party , 281658 , 21 , 58 , 46.4 , 37
23rd 19:40,5 , LAB , Labour Party , 220694 , 14 , 45 , 36.4 , 31
23rd 19:40,7 , NZF , New Zealand First Party , 42504 , 8 , 9 , 7.0 , 1
23rd 19:40,4 , GP , Green Party , 36520 , 7 , 7 , 6.0 , 0
23rd 19:40,28 , TOP , The Opportunities Party (TOP) , 11607 , 0 , 0 , 1.9 , 0
23rd 19:40,10 , MAOR , Māori Party , 5877 , 0 , 0 , 1.0 , 0
23rd 19:40,1 , ACT , ACT New Zealand , 2719 , 0 , 1 , 0.4 , 1
23rd 19:40,12 , CNSP , Conservative , 1394 , 0 , 0 , 0.2 , 0
23rd 19:40,3 , ALCP , Aotearoa Legalise Cannabis Party , 1221 , 0 , 0 , 0.2 , 0
23rd 19:40,11 , MANA , MANA , 736 , 0 , 0 , 0.1 , 0
23rd 19:40,29 , NZPP , New Zealand People's Party , 546 , 0 , 0 , 0.1 , 0
23rd 19:40,18 , BAN , Ban1080 , 528 , 0 , 0 , 0.1 , 0
23rd 19:40,9 , UFNZ , United Future , 402 , 0 , 0 , 0.1 , 0
23rd 19:40,27 , NZOP , NZ Outdoors Party , 295 , 0 , 0 , 0.0 , 0
23rd 19:40,8 , NZDSC , Democrats for Social Credit , 195 , 0 , 0 , 0.0 , 0
23rd 19:40,14 , IP , Internet Party , 136 , 0 , 0 , 0.0 , 0
23rd 19:41,6 , NAT , National Party , 283177 , 21 , 58 , 46.3 , 37
23rd 19:41,5 , LAB , Labour Party , 223059 , 13 , 45 , 36.4 , 32
23rd 19:41,7 , NZF , New Zealand First Party , 42949 , 8 , 9 , 7.0 , 1
23rd 19:41,4 , GP , Green Party , 36863 , 7 , 7 , 6.0 , 0
23rd 19:41,28 , TOP , The Opportunities Party (TOP) , 11714 , 0 , 0 , 1.9 , 0
23rd 19:41,10 , MAOR , Māori Party , 6033 , 0 , 0 , 1.0 , 0
23rd 19:41,1 , ACT , ACT New Zealand , 2738 , 0 , 1 , 0.4 , 1
23rd 19:41,12 , CNSP , Conservative , 1406 , 0 , 0 , 0.2 , 0
23rd 19:41,3 , ALCP , Aotearoa Legalise Cannabis Party , 1234 , 0 , 0 , 0.2 , 0
23rd 19:41,11 , MANA , MANA , 748 , 0 , 0 , 0.1 , 0
23rd 19:41,29 , NZPP , New Zealand People's Party , 550 , 0 , 0 , 0.1 , 0
23rd 19:41,18 , BAN , Ban1080 , 534 , 0 , 0 , 0.1 , 0
23rd 19:41,9 , UFNZ , United Future , 407 , 0 , 0 , 0.1 , 0
23rd 19:41,27 , NZOP , NZ Outdoors Party , 296 , 0 , 0 , 0.0 , 0
23rd 19:41,8 , NZDSC , Democrats for Social Credit , 201 , 0 , 0 , 0.0 , 0
23rd 19:41,14 , IP , Internet Party , 136 , 0 , 0 , 0.0 , 0
23rd 19:42,6 , NAT , National Party , 287920 , 21 , 58 , 46.3 , 37
23rd 19:42,5 , LAB , Labour Party , 226332 , 13 , 45 , 36.4 , 32
23rd 19:42,7 , NZF , New Zealand First Party , 43625 , 8 , 9 , 7.0 , 1
23rd 19:42,4 , GP , Green Party , 37294 , 7 , 7 , 6.0 , 0
23rd 19:42,28 , TOP , The Opportunities Party (TOP) , 11865 , 0 , 0 , 1.9 , 0
23rd 19:42,10 , MAOR , Māori Party , 6106 , 0 , 0 , 1.0 , 0
23rd 19:42,1 , ACT , ACT New Zealand , 2777 , 0 , 1 , 0.4 , 1
23rd 19:42,12 , CNSP , Conservative , 1432 , 0 , 0 , 0.2 , 0
23rd 19:42,3 , ALCP , Aotearoa Legalise Cannabis Party , 1250 , 0 , 0 , 0.2 , 0
23rd 19:42,11 , MANA , MANA , 757 , 0 , 0 , 0.1 , 0
23rd 19:42,29 , NZPP , New Zealand People's Party , 559 , 0 , 0 , 0.1 , 0
23rd 19:42,18 , BAN , Ban1080 , 537 , 0 , 0 , 0.1 , 0
23rd 19:42,9 , UFNZ , United Future , 413 , 0 , 0 , 0.1 , 0
23rd 19:42,27 , NZOP , NZ Outdoors Party , 301 , 0 , 0 , 0.0 , 0
23rd 19:42,8 , NZDSC , Democrats for Social Credit , 205 , 0 , 0 , 0.0 , 0
23rd 19:42,14 , IP , Internet Party , 138 , 0 , 0 , 0.0 , 0
23rd 19:43,6 , NAT , National Party , 291293 , 20 , 57 , 46.2 , 37
23rd 19:43,5 , LAB , Labour Party , 230243 , 13 , 45 , 36.5 , 32
23rd 19:43,7 , NZF , New Zealand First Party , 44167 , 8 , 9 , 7.0 , 1
23rd 19:43,4 , GP , Green Party , 38123 , 8 , 8 , 6.0 , 0
23rd 19:43,28 , TOP , The Opportunities Party (TOP) , 12134 , 0 , 0 , 1.9 , 0
23rd 19:43,10 , MAOR , Māori Party , 6396 , 0 , 0 , 1.0 , 0
23rd 19:43,1 , ACT , ACT New Zealand , 2819 , 0 , 1 , 0.4 , 1
23rd 19:43,12 , CNSP , Conservative , 1448 , 0 , 0 , 0.2 , 0
23rd 19:43,3 , ALCP , Aotearoa Legalise Cannabis Party , 1268 , 0 , 0 , 0.2 , 0
23rd 19:43,11 , MANA , MANA , 779 , 0 , 0 , 0.1 , 0
23rd 19:43,29 , NZPP , New Zealand People's Party , 567 , 0 , 0 , 0.1 , 0
23rd 19:43,18 , BAN , Ban1080 , 540 , 0 , 0 , 0.1 , 0
23rd 19:43,9 , UFNZ , United Future , 418 , 0 , 0 , 0.1 , 0
23rd 19:43,27 , NZOP , NZ Outdoors Party , 307 , 0 , 0 , 0.0 , 0
23rd 19:43,8 , NZDSC , Democrats for Social Credit , 208 , 0 , 0 , 0.0 , 0
23rd 19:43,14 , IP , Internet Party , 138 , 0 , 0 , 0.0 , 0
23rd 19:44,6 , NAT , National Party , 295844 , 19 , 57 , 46.2 , 38
23rd 19:44,5 , LAB , Labour Party , 233722 , 13 , 45 , 36.5 , 32
23rd 19:44,7 , NZF , New Zealand First Party , 44999 , 9 , 9 , 7.0 , 0
23rd 19:44,4 , GP , Green Party , 38664 , 8 , 8 , 6.0 , 0
23rd 19:44,28 , TOP , The Opportunities Party (TOP) , 12355 , 0 , 0 , 1.9 , 0
23rd 19:44,10 , MAOR , Māori Party , 6469 , 0 , 0 , 1.0 , 0
